Year,air.degC,slp.millibars,sst.degC,vwnd.m/s,wspd3.m3/s3
1964,17.1706944444444,1015.48236111111,18.1493055555556,-1.83972222222222,546.347222222222
1965,17.3855555555556,1013.89666666667,17.9694444444444,-1.72625,677.347222222222
1966,17.6365277777778,1013.06430555556,18.3790277777778,-1.41416666666667,676.659722222222
1967,17.2122222222222,1014.66333333333,18.1875,-2.04708333333333,833.881944444444
1968,17.3204166666667,1014.39472222222,18.6165277777778,-3.02541666666667,934.965277777778
1969,16.9355555555556,1013.78986111111,17.8430555555556,-2.28527777777778,778.333333333333
1970,18.0322222222222,1013.82013888889,18.6556944444444,-0.310138888888891,830.840277777778
1971,16.7211111111111,1015.34666666667,17.485,-2.17472222222222,669.493055555556
1972,16.8845833333333,1016.69319444444,17.5027777777778,-2.38541666666667,892.402777777778
1973,17.09375,1016.74194444444,17.7522222222222,-1.56166666666667,887.388888888889
1974,16.5568055555556,1016.41680555556,17.8970833333333,-3.63777777777778,789.395833333333
1975,16.1991666666667,1016.34583333333,17.6301388888889,-2.32236111111111,1033.27083333333
1976,16.7945833333333,1016.22125,17.6869444444444,-1.67652777777778,593.916666666667
1977,16.4247222222222,1017.01430555556,17.4531944444444,-2.55347222222222,923.041666666667
1978,17.1972222222222,1017.25472222222,17.9843055555556,-3.47111111111111,867.368055555556
1979,17.5451388888889,1016.47847222222,17.9477777777778,-0.596805555555556,644.8125
1980,16.675,1015.65472222222,18.2313888888889,-1.95680555555556,984.5625
1981,16.8344444444444,1012.83777777778,17.8263888888889,-1.60263888888889,973.965277777778
1982,16.2783333333333,1017.77819444444,17.4480555555556,-1.99083333333334,678.25
1983,16.86,1015.94291666667,17.2484722222222,-2.21194444444445,826.694444444444
1984,17.5233333333333,1016.58791666667,18.6504166666667,-1.74972222222222,523.701388888889
1985,16.6844444444444,1017.07666666667,17.9734722222222,-2.68486111111111,821.770833333333
1986,18.0979166666667,1016.31944444444,18.1366666666667,-1.93763888888889,761.645833333333
1987,16.5936111111111,1017.23805555556,17.4690277777778,-2.99375,679.840277777778
1988,17.1072222222222,1014.59208333333,17.9623611111111,-2.4325,860.256944444444
1989,16.8356944444444,1016.07638888889,17.6375,-2.08486111111111,591.638888888889
1990,16.7694444444444,1017.63777777778,17.67,-1.36694444444445,620.784722222222
1991,16.6997222222222,1016.06388888889,18.1226388888889,-2.56972222222222,904.104166666667
1992,16.2288888888889,1016.89083333333,17.8175,-3.31361111111111,1137.92361111111
1993,16.0980555555556,1016.97,18.2241666666667,-3.44013888888889,1037.9375
1994,17.6433333333333,1015.23194444444,19.1665277777778,-3.56833333333333,1253.02083333333
1995,17.5323611111111,1015.59444444444,18.4793055555556,-3.05069444444444,1396.98611111111
1996,16.7552777777778,1014.83416666667,17.7897222222222,-2.17222222222222,973.3125
1997,16.8952777777778,1015.13236111111,17.7636111111111,-1.21861111111111,1069.94444444444
1998,17.1248611111111,1015.13777777778,18.3736111111111,-3.41930555555556,1445.57638888889
1999,18.1486111111111,1014.73597222222,18.97375,-2.18055555555556,840.145833333333
2000,17.5343055555556,1016.87430555556,18.3830555555556,-2.85805555555556,975.215277777778
2001,16.9268055555556,1015.16736111111,18.6698611111111,-2.32138888888889,1146.85416666667
2002,17.9947222222222,1016.26083333333,18.3816666666667,-2.24,619
2003,16.9763888888889,1015.20777777778,18.1252777777778,-2.61763888888889,910.868055555556
2004,17.3329166666667,1015.30236111111,18.1688888888889,-1.2425,1378.31944444444
2005,17.8290277777778,1014.88888888889,18.0156944444444,-0.5,844.75
2006,15.9608333333333,1014.80402777778,17.7776388888889,-5.39583333333333,2167.54861111111
2007,17.22375,1016.75861111111,18.7786111111111,-2.89833333333333,856.777777777778
2008,16.9397222222222,1016.16805555556,18.4618055555556,-4.17555555555556,1653.68055555556
2009,16.9756944444444,1014.73013888889,18.4068055555556,-3.46930555555556,1022.125
2010,18.6336111111111,1012.77722222222,18.875,-0.809166666666667,907.506944444444
2011,16.8277777777778,1015.73763888889,19.0081944444444,-3.90652777777778,1206.99305555556
2012,18.5120833333333,1014.89736111111,18.9283333333333,-0.980000000000001,1225.70833333333
2013,17.5251388888889,1015.36555555556,19.1920833333333,-2.53736111111111,1204.18055555556
2014,18.2147222222222,1014.68541666667,19.02,-1.57083333333333,1225.41666666667
2015,16.6141666666667,1016.87597222222,18.5504166666667,-4.29416666666667,1431.26388888889
2016,18.7309722222222,1015.56583333333,19.1758333333333,-1.75819444444445,1112.98611111111
2017,18.1286111111111,1015.44527777778,18.7075,-3.60257575757576,897.598484848485
2018,18.761875,1012.8075,19.1235714285714,-2.434375,434.90625
